Customer Name,Age,Gender,City,Occupation,Order Time,Restaurant,Food Item,No. of Items,Delivery Time (min),Total Bill ($),Delivery Tip ($),Payment Method,Coupon Applied,Order Status,Feedback Rating,Device Used,Customer Tier,Order Delay (min),Delivery Agent Rating
Chris,18,Male,New York,Doctor,22:17.7,Burger King,Ramen,3,22,41.07,5.05,Debit Card,No,Delivered,3,Mobile App,Regular,5,3
Ashley,18,Female,Phoenix,Teacher,09:17.7,Chipotle,Ramen,3,16,47.23,8.79,Debit Card,No,Delivered,3,Mobile App,Gold,6,4
Jessica,18,Female,Dallas,Teacher,52:17.7,McDonald's,Pizza,3,13,32.04,0,Credit Card,Yes,Delivered,5,Mobile App,Regular,6,4
Sarah,18,Female,Houston,Teacher,29:17.7,Subway,Pizza,5,22,7.51,5.73,Credit Card,No,Delivered,2,Desktop Site,Regular,0,5
David,18,Male,Houston,Doctor,58:17.7,McDonald's,Pizza,3,51,23.59,5.63,Debit Card,No,Delayed,5,Mobile App,Silver,8,5
Michael,18,Female,San Jose,Designer,53:17.7,Subway,Sushi,5,37,29.3,1.84,Debit Card,Yes,Delivered,3,Mobile App,Silver,15,3
Ashley,18,Female,San Diego,Engineer,09:17.7,Wendy's,Pasta,1,14,23.01,6.98,Debit Card,No,Delayed,4,Mobile App,Regular,12,3
Jessica,18,Female,Phoenix,Designer,29:17.7,Chipotle,Burger,3,44,20.94,5.5,Credit Card,No,Delivered,4,Mobile App,Regular,2,3
Daniel,18,Female,San Jose,Doctor,45:17.7,Burger King,Pizza,2,12,13.76,3.94,Credit Card,No,Delivered,4,Mobile App,Platinum,1,4
Emily,18,Female,Chicago,Student,26:17.7,Wendy's,Pizza,2,35,24.87,6.91,Debit Card,No,Delivered,3,Desktop Site,Silver,0,3
Emily,18,Female,San Jose,Salesperson,58:17.7,McDonald's,Sushi,3,36,32.38,0.34,UPI,No,Delivered,3,Mobile App,Silver,11,4
Ashley,18,Female,Los Angeles,Designer,15:17.7,Taco Bell,Sushi,4,34,33.76,3.69,Credit Card,No,Delivered,4,Mobile App,Gold,7,2
John,18,Female,Houston,Engineer,15:17.7,McDonald's,Salad,5,27,18.12,5.02,Credit Card,No,Delivered,4,Mobile App,Gold,3,3
John,18,Male,Chicago,Driver,14:17.7,Burger King,Pizza,4,34,35.5,2.97,Debit Card,Yes,Delivered,5,Mobile App,Regular,4,4
David,18,Female,Los Angeles,Student,00:17.7,Wendy's,Burger,2,45,21.3,2.38,Debit Card,Yes,Cancelled,3,Mobile App,Gold,0,5
Daniel,18,Female,San Jose,Engineer,20:17.7,Chipotle,Pasta,3,49,40.27,2.33,Credit Card,Yes,Delivered,5,Mobile App,Silver,11,4
David,18,Female,San Diego,Designer,46:17.7,KFC,Burger,1,26,35.43,3.72,UPI,No,Delivered,5,Mobile App,Platinum,11,4
Ashley,18,Male,San Diego,Teacher,11:17.8,Taco Bell,Ramen,3,34,22.03,2.59,Wallet,No,Cancelled,3,Mobile App,Silver,24,3
Daniel,18,Male,Chicago,Driver,11:17.8,Wendy's,Burger,5,11,24.88,2.86,Credit Card,Yes,Delivered,5,Mobile App,Regular,16,5
Sarah,18,Female,San Jose,Designer,03:17.8,Chipotle,Pasta,2,32,12.63,9.26,Credit Card,Yes,Delivered,5,Desktop Site,Regular,0,4
Sarah,18,Female,Houston,Engineer,38:17.8,Chipotle,Burger,4,26,45,3.18,Debit Card,Yes,Delivered,4,Mobile App,Platinum,7,5
Daniel,18,Male,Los Angeles,Student,15:17.8,McDonald's,Pizza,3,27,50.97,8.51,Credit Card,No,Delayed,4,Mobile App,Silver,0,1
David,18,Male,San Diego,Teacher,18:17.8,Subway,Burger,4,19,35.47,4.14,Cash,Yes,Delivered,4,Mobile App,Silver,6,5
Laura,18,Female,Chicago,Salesperson,12:17.8,Burger King,Burger,1,29,24.25,11.21,Wallet,No,Delivered,4,Mobile App,Regular,9,4
David,18,Female,Dallas,Teacher,57:17.8,Wendy's,Salad,2,25,8.98,5.44,Credit Card,No,Delivered,5,Mobile App,Silver,0,4
David,18,Male,New York,Salesperson,52:17.8,Chipotle,Sushi,1,11,23.43,2.31,Credit Card,No,Delivered,3,Mobile App,Silver,10,4
Daniel,18,Female,New York,Teacher,23:17.8,Chipotle,Burger,5,23,12.46,8.16,Cash,No,Delivered,2,Mobile App,Gold,0,4
Laura,18,Female,Phoenix,Student,16:17.8,Burger King,Burger,5,33,22.9,5.91,Credit Card,No,Delivered,4,Mobile App,Regular,2,4
David,18,Male,Houston,Salesperson,23:17.8,McDonald's,Ramen,3,28,13.79,0,UPI,No,Delayed,4,Desktop Site,Regular,3,4
John,18,Female,Chicago,Student,16:17.8,Chipotle,Pizza,4,5,28.68,6.9,Credit Card,No,Delivered,5,Mobile App,Silver,9,4
Emily,18,Female,San Jose,Teacher,04:17.8,McDonald's,Pizza,5,26,19.36,5.44,UPI,Yes,Delivered,3,Mobile App,Regular,12,4
Laura,18,Female,Los Angeles,Teacher,08:17.8,Chipotle,Burger,5,40,30.51,4.17,UPI,No,Delivered,3,Mobile App,Gold,10,5
Daniel,18,Male,Los Angeles,Doctor,28:17.8,Chipotle,Sushi,3,20,12.48,2.29,Credit Card,No,Delivered,4,Desktop Site,Gold,9,2
Ashley,18,Male,Phoenix,Student,37:17.8,Chipotle,Salad,1,24,22.93,9.22,Credit Card,No,Delivered,4,Mobile App,Regular,8,4
Ashley,18,Female,New York,Teacher,26:17.8,Burger King,Sushi,4,20,21.88,6.41,UPI,No,Cancelled,3,Mobile App,Gold,6,5
Chris,18,Male,San Jose,Doctor,31:17.8,McDonald's,Burger,1,30,42.07,6.94,Credit Card,No,Delivered,4,Mobile App,Regular,4,5
Chris,18,Male,Phoenix,Engineer,38:17.8,Burger King,Pizza,2,22,36.34,3.4,Credit Card,No,Delayed,4,Desktop Site,Regular,4,4
Sarah,18,Female,Chicago,Designer,04:17.8,Chipotle,Pizza,3,11,34.05,0.16,Debit Card,Yes,Delivered,3,Mobile App,Regular,2,3
Daniel,18,Male,Houston,Engineer,44:17.8,Chipotle,Burger,2,21,44.3,0,Debit Card,No,Delivered,5,Mobile App,Silver,10,2
Ashley,18,Male,Los Angeles,Salesperson,28:17.8,McDonald's,Pasta,2,38,19.77,2.48,Debit Card,No,Delivered,3,Mobile App,Silver,0,4
Michael,18,Female,San Jose,Teacher,07:17.8,McDonald's,Salad,4,8,20.96,5.77,Wallet,Yes,Delivered,3,Mobile App,Silver,7,4
Daniel,18,Male,San Diego,Driver,20:17.8,Wendy's,Pizza,1,35,19.56,3.17,Debit Card,Yes,Delivered,5,Mobile App,Gold,14,4
Daniel,18,Male,Chicago,Doctor,45:17.8,Subway,Salad,2,6,21.86,4.18,Wallet,No,Cancelled,5,Mobile App,Gold,2,5
David,18,Male,Houston,Driver,43:17.8,Chipotle,Burger,3,54,18.86,0.9,Credit Card,Yes,Delivered,3,Mobile App,Regular,12,4
Ashley,18,Female,Dallas,Engineer,44:17.8,McDonald's,Salad,2,27,-2,3.21,Credit Card,No,Cancelled,5,Mobile App,Regular,11,4
John,18,Female,Los Angeles,Student,41:17.8,McDonald's,Tacos,4,49,17.63,7.9,Debit Card,No,Delivered,2,Mobile App,Silver,5,2
David,18,Female,Chicago,Teacher,12:17.8,McDonald's,Tacos,4,17,36.54,1.16,Credit Card,No,Delayed,2,Mobile App,Silver,3,5
Daniel,18,Female,Phoenix,Teacher,36:17.8,Chipotle,Salad,2,53,11,4.82,Wallet,No,Cancelled,4,Desktop Site,Regular,10,4
Daniel,18,Female,Los Angeles,Designer,17:17.8,Panda Express,Burger,1,33,28.18,3.71,Credit Card,No,Delivered,4,Mobile App,Silver,6,4
Ashley,18,Male,San Diego,Student,20:17.8,Chipotle,Pizza,4,26,29.94,7.51,Credit Card,No,Delivered,4,Mobile App,Platinum,13,4
Chris,18,Female,San Jose,Student,40:17.8,Wendy's,Sandwich,3,29,28.52,4.52,Debit Card,No,Delivered,4,Mobile App,Regular,12,4
David,18,Male,San Diego,Driver,45:17.8,McDonald's,Burger,1,38,12.77,6.05,Wallet,No,Delivered,4,Mobile App,Regular,2,4
John,18,Male,Phoenix,Engineer,16:17.8,Wendy's,Pizza,5,26,28.76,6.73,Wallet,No,Delivered,4,Mobile App,Gold,0,4
Ashley,18,Female,New York,Doctor,03:17.8,Burger King,Salad,3,26,47.95,5.01,Debit Card,No,Delivered,2,Mobile App,Regular,12,4
Sarah,18,Female,Houston,Teacher,48:17.8,McDonald's,Pasta,4,21,23.86,6.36,Credit Card,No,Cancelled,3,Mobile App,Regular,0,5
Daniel,18,Male,Houston,Doctor,00:17.8,Chipotle,Sushi,2,29,43.22,3.22,Credit Card,No,Cancelled,4,Mobile App,Regular,0,4
John,18,Female,San Diego,Designer,09:17.8,McDonald's,Pizza,5,30,46.57,7.8,Credit Card,Yes,Delayed,5,Mobile App,Gold,3,3
Daniel,18,Male,Chicago,Teacher,05:17.8,KFC,Burger,5,27,32.09,4.61,Credit Card,No,Cancelled,3,Desktop Site,Regular,7,4
David,18,Male,Phoenix,Driver,41:17.8,McDonald's,Ramen,5,30,19.19,0,Credit Card,No,Delivered,3,Mobile App,Silver,14,4
Ashley,18,Male,Dallas,Salesperson,26:17.8,McDonald's,Pizza,4,30,34.47,6.43,Debit Card,Yes,Delivered,4,Mobile App,Gold,0,3
Sarah,18,Female,San Diego,Student,13:17.8,McDonald's,Tacos,3,18,28.77,0,Wallet,No,Delivered,3,Mobile App,Gold,0,3
Ashley,18,Male,Houston,Driver,43:17.8,Wendy's,Tacos,3,11,11.29,0,Credit Card,No,Delayed,3,Desktop Site,Regular,0,4
Sarah,18,Female,Houston,Student,46:17.8,Wendy's,Sushi,1,57,18.74,3.48,Cash,No,Delivered,2,Mobile App,Silver,7,5
Emily,18,Female,New York,Doctor,13:17.8,Chipotle,Ramen,5,42,31.66,2.26,UPI,No,Delivered,4,Mobile App,Silver,0,4
Chris,18,Male,Dallas,Salesperson,13:17.8,Chipotle,Pizza,5,17,47.52,1.06,UPI,No,Delivered,4,Mobile App,Regular,3,3
Emily,18,Female,Phoenix,Student,05:17.8,Chipotle,Sushi,5,33,53.75,5.52,UPI,No,Delivered,4,Mobile App,Silver,2,4
Laura,18,Female,Los Angeles,Salesperson,10:17.8,Subway,Pasta,2,21,29.92,3.26,Wallet,Yes,Delivered,4,Mobile App,Silver,7,4
John,18,Male,Phoenix,Doctor,16:17.8,Chipotle,Pasta,5,37,24.41,7.78,Debit Card,No,Delivered,5,Mobile App,Gold,7,2
Ashley,18,Male,San Diego,Student,02:17.8,McDonald's,Pasta,1,23,11.98,5.76,Credit Card,No,Delayed,5,Mobile App,Regular,0,4
John,18,Male,Houston,Driver,47:17.8,McDonald's,Pizza,4,33,21.94,7.41,Credit Card,No,Delivered,3,Mobile App,Gold,16,4
Chris,18,Male,Chicago,Student,29:17.8,McDonald's,Sandwich,2,31,34.16,8.94,Credit Card,No,Delivered,5,Mobile App,Platinum,13,4
Daniel,18,Female,Phoenix,Designer,36:17.8,Burger King,Pizza,4,37,28.9,1.69,Debit Card,No,Cancelled,3,Mobile App,Silver,6,4
Daniel,18,Male,San Diego,Doctor,47:17.8,McDonald's,Burger,4,27,20.94,5.73,Credit Card,Yes,Delivered,5,Mobile App,Regular,1,4
David,18,Male,Dallas,Student,25:17.8,Panda Express,Pizza,1,23,21.56,4.02,Debit Card,Yes,Delivered,4,Mobile App,Regular,8,4
John,18,Male,San Jose,Engineer,01:17.8,McDonald's,Burger,2,21,18.53,4.56,Credit Card,No,Delivered,4,Mobile App,Platinum,13,5
David,18,Male,Los Angeles,Salesperson,39:17.8,KFC,Sandwich,4,46,29.82,2.82,Debit Card,No,Delivered,2,Mobile App,Silver,8,4
Daniel,18,Female,Phoenix,Salesperson,42:17.8,McDonald's,Sushi,3,17,5.45,6.18,Debit Card,No,Delivered,4,Desktop Site,Silver,2,4
Sarah,18,Female,Dallas,Designer,45:17.8,McDonald's,Burger,1,5,23.01,2.79,Credit Card,No,Delayed,2,Mobile App,Platinum,0,4
Chris,18,Female,New York,Teacher,48:17.8,McDonald's,Pasta,2,39,16.11,0.16,Credit Card,No,Delivered,2,Mobile App,Regular,0,4
David,18,Male,New York,Doctor,35:17.8,Chipotle,Sandwich,2,47,17.08,5.38,Wallet,Yes,Cancelled,3,Mobile App,Silver,4,4
John,18,Female,San Jose,Teacher,22:17.8,Subway,Burger,2,15,22.79,2.31,UPI,Yes,Delivered,3,Mobile App,Regular,4,4
Daniel,18,Female,San Diego,Doctor,30:17.8,Chipotle,Sushi,3,46,35.28,4.01,Debit Card,No,Delivered,5,Desktop Site,Regular,6,3
Jessica,18,Female,New York,Student,53:17.8,McDonald's,Burger,2,38,39.28,2.79,Debit Card,Yes,Cancelled,5,Mobile App,Gold,6,4
Chris,18,Male,Houston,Engineer,37:17.8,McDonald's,Sushi,4,19,51.56,5.34,Credit Card,Yes,Delivered,4,Desktop Site,Silver,0,3
Jessica,18,Female,San Diego,Salesperson,14:17.8,Chipotle,Pizza,3,31,22.95,4.93,Cash,No,Delivered,4,Mobile App,Silver,0,5
Michael,18,Female,Los Angeles,Engineer,16:17.8,McDonald's,Salad,2,24,22.9,5.91,Credit Card,Yes,Delivered,4,Mobile App,Silver,1,5
Chris,18,Female,Los Angeles,Designer,50:17.8,McDonald's,Pasta,1,48,38.76,3.95,Credit Card,No,Delivered,4,Mobile App,Regular,5,4
John,18,Male,San Diego,Driver,26:17.8,McDonald's,Sandwich,5,54,52.49,0.63,Credit Card,Yes,Delivered,4,Desktop Site,Regular,11,3
Michael,18,Male,Los Angeles,Engineer,25:17.9,McDonald's,Pizza,4,33,45.6,5.22,UPI,No,Delivered,2,Mobile App,Gold,13,5
Ashley,18,Male,Houston,Engineer,52:17.9,Panda Express,Sushi,1,5,20.79,3.57,UPI,No,Delivered,1,Mobile App,Silver,7,5
David,18,Male,New York,Driver,15:17.9,McDonald's,Sushi,5,30,23.53,1.2,UPI,No,Delivered,3,Mobile App,Silver,11,5
Jessica,18,Female,Dallas,Teacher,54:17.9,Chipotle,Tacos,2,26,28.36,5.82,Credit Card,Yes,Delivered,5,Mobile App,Regular,9,5
David,18,Male,San Diego,Student,37:17.9,Chipotle,Pasta,4,53,9.75,3.56,Debit Card,No,Delivered,5,Mobile App,Regular,7,5
Daniel,18,Male,New York,Student,11:17.9,KFC,Burger,3,32,27.52,0,UPI,No,Delivered,3,Mobile App,Regular,9,2
Sarah,18,Female,San Jose,Designer,17:17.9,Burger King,Burger,5,19,19.67,7.63,Credit Card,No,Delayed,3,Mobile App,Regular,6,4
Sarah,18,Female,San Jose,Designer,51:17.9,Subway,Ramen,5,29,51.59,2.43,Debit Card,No,Delivered,4,Mobile App,Regular,5,2
Michael,18,Male,Los Angeles,Doctor,37:17.9,McDonald's,Sandwich,3,30,24.81,5.64,Credit Card,No,Cancelled,5,Desktop Site,Platinum,7,4
David,18,Female,Houston,Engineer,39:17.9,Subway,Pasta,5,5,12.84,1.04,Debit Card,No,Delivered,4,Mobile App,Regular,11,5
Emily,18,Female,San Diego,Designer,01:17.9,Wendy's,Burger,5,25,24.5,4.9,Cash,No,Delivered,5,Mobile App,Silver,10,5
Emily,18,Female,San Jose,Designer,39:17.9,McDonald's,Pizza,1,28,11.13,1.99,Debit Card,No,Cancelled,4,Mobile App,Regular,5,4
Daniel,18,Female,Dallas,Designer,14:17.9,Taco Bell,Pizza,3,49,22.04,3.74,Credit Card,No,Delivered,3,Mobile App,Regular,4,4
Michael,18,Female,San Diego,Student,06:17.9,McDonald's,Pizza,5,25,36.71,0,Cash,No,Delivered,3,Desktop Site,Regular,13,2
Chris,18,Male,Chicago,Salesperson,42:17.9,Subway,Salad,2,38,44.85,2.11,Wallet,No,Delivered,5,Mobile App,Regular,2,5
Chris,18,Male,New York,Doctor,53:17.9,Chipotle,Burger,1,37,13.15,2.47,Credit Card,No,Delivered,3,Mobile App,Platinum,7,3
Daniel,18,Female,Chicago,Teacher,28:17.9,Chipotle,Pizza,4,38,28.65,2.5,Wallet,No,Delivered,4,Mobile App,Silver,0,4
Michael,18,Female,San Diego,Engineer,40:17.9,McDonald's,Burger,3,38,37.91,2.32,UPI,No,Cancelled,3,Mobile App,Regular,0,4
David,18,Male,San Diego,Salesperson,17:17.9,Wendy's,Pasta,5,32,32.8,2.79,UPI,Yes,Delivered,4,Mobile App,Regular,7,2
Sarah,18,Female,Chicago,Student,04:17.9,Panda Express,Pizza,1,15,33.51,9.41,Credit Card,Yes,Delivered,3,Mobile App,Silver,0,3
Laura,18,Female,San Jose,Engineer,07:17.9,Wendy's,Burger,3,14,28.92,0.92,Credit Card,No,Delivered,3,Desktop Site,Regular,4,4
John,18,Female,New York,Salesperson,25:17.9,Subway,Sushi,1,38,7.13,5.52,UPI,Yes,Delivered,4,Mobile App,Platinum,0,5
David,18,Male,San Diego,Student,33:17.9,McDonald's,Pizza,4,27,39.12,4.04,Debit Card,No,Delivered,5,Mobile App,Silver,8,5
Jessica,18,Female,San Jose,Teacher,18:17.9,McDonald's,Tacos,1,14,46.68,8.42,Credit Card,No,Delivered,3,Mobile App,Regular,8,4
Chris,18,Male,San Jose,Salesperson,11:17.9,KFC,Sushi,4,51,26.24,3.32,Wallet,Yes,Delivered,5,Mobile App,Regular,1,4
Chris,18,Female,Dallas,Designer,06:17.9,KFC,Sushi,3,52,45.48,5.68,UPI,No,Delivered,3,Mobile App,Silver,6,3
Daniel,18,Female,San Jose,Salesperson,12:17.9,KFC,Sushi,5,36,22.29,2.39,Wallet,No,Delivered,4,Mobile App,Silver,6,4
Jessica,18,Female,Dallas,Doctor,11:17.9,Wendy's,Sushi,1,29,23.5,2.04,Credit Card,No,Delayed,4,Mobile App,Regular,0,3
Ashley,18,Female,San Jose,Doctor,10:17.9,Panda Express,Sushi,3,39,35.43,7.86,Credit Card,Yes,Delivered,2,Desktop Site,Regular,6,5
Emily,18,Female,San Diego,Doctor,30:17.9,Burger King,Tacos,3,16,35.28,5.5,Credit Card,No,Delivered,3,Mobile App,Gold,4,3
David,18,Male,Phoenix,Student,20:17.9,McDonald's,Pasta,4,32,20.67,3.38,Credit Card,No,Delivered,4,Mobile App,Regular,1,4
Chris,18,Female,Houston,Doctor,49:17.9,Burger King,Sushi,2,36,26.82,6.04,Credit Card,No,Delivered,3,Mobile App,Platinum,7,4
David,18,Female,Dallas,Student,53:17.9,McDonald's,Sandwich,5,30,31.68,4.67,Credit Card,No,Delivered,4,Mobile App,Regular,17,2
Daniel,18,Female,Phoenix,Teacher,54:17.9,Taco Bell,Pizza,2,32,37.52,2.87,Wallet,No,Delivered,4,Desktop Site,Silver,10,4
Michael,18,Male,San Jose,Doctor,01:17.9,Burger King,Tacos,3,28,8.82,0,Credit Card,Yes,Delivered,3,Desktop Site,Silver,8,4
John,18,Male,Phoenix,Teacher,19:17.9,Chipotle,Burger,1,34,41.71,4.18,Credit Card,No,Delivered,1,Desktop Site,Silver,4,5
John,18,Female,San Jose,Engineer,53:17.9,McDonald's,Tacos,1,45,10.08,7.68,Cash,No,Delivered,3,Mobile App,Regular,21,4
Chris,18,Female,Phoenix,Doctor,11:17.9,Taco Bell,Salad,4,20,7.63,5.63,Credit Card,No,Delivered,2,Mobile App,Regular,0,4
Ashley,18,Female,Los Angeles,Teacher,09:17.9,Chipotle,Sandwich,5,38,14.79,4.24,Credit Card,Yes,Delivered,5,Mobile App,Regular,16,4
Ashley,18,Female,Phoenix,Engineer,59:17.9,Wendy's,Tacos,2,49,0.12,2.57,Wallet,Yes,Delivered,5,Mobile App,Gold,9,4
Chris,18,Female,Los Angeles,Salesperson,09:17.9,Panda Express,Sushi,5,46,9.17,3.73,Debit Card,No,Delivered,4,Mobile App,Regular,4,3
Chris,18,Male,Dallas,Engineer,52:17.9,McDonald's,Sushi,5,19,30.55,4.63,Debit Card,No,Delivered,2,Mobile App,Regular,7,4
Chris,18,Female,Chicago,Teacher,53:17.9,Chipotle,Burger,1,5,18.87,2.16,Credit Card,No,Cancelled,4,Mobile App,Regular,13,5
Ashley,18,Male,Los Angeles,Teacher,08:17.9,KFC,Pasta,3,22,32.19,3.44,Debit Card,No,Cancelled,4,Mobile App,Gold,1,5
David,18,Female,New York,Teacher,13:17.9,KFC,Salad,2,23,40.08,5.36,Debit Card,No,Delivered,3,Desktop Site,Silver,11,5
Laura,18,Female,San Diego,Salesperson,46:17.9,Burger King,Sandwich,3,33,34.42,1.2,Credit Card,Yes,Delivered,3,Mobile App,Regular,8,4
Emily,18,Female,Chicago,Teacher,54:17.9,KFC,Pasta,2,29,47.66,3.53,Credit Card,No,Delivered,3,Desktop Site,Gold,9,1
Jessica,18,Female,Chicago,Doctor,59:17.9,Subway,Sandwich,4,34,25.44,1.9,UPI,No,Delivered,4,Mobile App,Regular,2,2
David,18,Female,Phoenix,Engineer,48:17.9,Taco Bell,Pizza,4,15,34.17,3.7,Credit Card,Yes,Delivered,3,Mobile App,Gold,2,5
John,18,Female,San Diego,Salesperson,16:17.9,Wendy's,Burger,2,32,37.08,3.73,Wallet,No,Delivered,3,Desktop Site,Gold,0,4
David,18,Female,Chicago,Engineer,42:17.9,McDonald's,Sandwich,2,44,43.28,7.96,Debit Card,Yes,Delivered,4,Mobile App,Silver,8,4
Michael,18,Male,Los Angeles,Engineer,48:17.9,Chipotle,Pasta,3,39,14.58,7.12,Debit Card,No,Delayed,3,Desktop Site,Silver,0,4
John,18,Female,Chicago,Student,43:17.9,Chipotle,Pasta,1,17,51.15,4.2,Credit Card,No,Delivered,4,Desktop Site,Regular,15,5
Daniel,18,Female,Dallas,Student,05:17.9,Chipotle,Ramen,5,21,32.85,0.6,UPI,No,Delivered,4,Mobile App,Regular,0,4
Michael,18,Male,San Jose,Doctor,42:17.9,Chipotle,Sushi,5,16,33.56,7.56,Debit Card,Yes,Delivered,4,Mobile App,Regular,9,4
Emily,18,Female,New York,Doctor,59:17.9,Burger King,Sandwich,5,13,22.44,4.4,Debit Card,No,Delivered,1,Mobile App,Silver,2,4
Daniel,18,Male,Dallas,Doctor,23:17.9,Subway,Pizza,5,41,30.92,7.83,Debit Card,No,Delivered,2,Mobile App,Silver,8,3
David,18,Male,Chicago,Engineer,47:17.9,Chipotle,Pizza,3,40,15.61,2.93,Credit Card,No,Delayed,4,Mobile App,Regular,10,4
Laura,18,Female,San Diego,Student,50:17.9,Chipotle,Sushi,1,22,12.77,2.01,Debit Card,No,Delivered,4,Mobile App,Gold,5,4
Laura,18,Female,New York,Teacher,41:17.9,Chipotle,Pasta,5,57,34.48,4.26,Debit Card,No,Delivered,5,Mobile App,Silver,6,2
Chris,18,Female,New York,Student,22:17.9,Taco Bell,Sandwich,1,53,14.82,6.46,Credit Card,No,Delivered,3,Mobile App,Silver,4,5
Ashley,18,Male,San Diego,Doctor,32:17.9,KFC,Sandwich,3,33,28.71,6.28,Credit Card,Yes,Delivered,4,Mobile App,Silver,0,4
Chris,18,Female,Dallas,Student,09:17.9,Subway,Sandwich,5,25,35.24,6.51,Credit Card,No,Delivered,3,Mobile App,Silver,2,4
Chris,18,Female,Houston,Student,25:17.9,Taco Bell,Burger,5,41,30.15,4.69,Debit Card,No,Delayed,3,Mobile App,Silver,11,4
David,18,Female,Dallas,Student,24:17.9,McDonald's,Sushi,2,26,26.59,5.35,UPI,No,Delivered,5,Mobile App,Regular,0,4
Daniel,18,Female,Houston,Teacher,28:17.9,Chipotle,Salad,3,35,15.81,0,Credit Card,Yes,Delivered,4,Mobile App,Silver,7,5
David,18,Male,Los Angeles,Engineer,24:17.9,McDonald's,Burger,5,40,35.49,1.2,Credit Card,No,Delivered,5,Mobile App,Gold,0,4
Michael,18,Male,San Jose,Salesperson,30:17.9,Chipotle,Pizza,5,26,29.19,2.31,Debit Card,Yes,Cancelled,1,Mobile App,Silver,7,4
Michael,18,Female,Phoenix,Doctor,57:17.9,McDonald's,Pizza,5,58,30.83,0,Credit Card,No,Delivered,4,Mobile App,Regular,0,4
Ashley,18,Male,Los Angeles,Driver,21:17.9,McDonald's,Sushi,1,38,35.75,1.67,Credit Card,Yes,Delivered,4,Mobile App,Gold,5,3
Ashley,18,Female,Houston,Student,10:17.9,McDonald's,Burger,5,12,41.28,1.73,Debit Card,Yes,Delivered,4,Mobile App,Regular,12,4
David,18,Female,Dallas,Doctor,29:18.0,Panda Express,Salad,1,33,27.45,2.58,Credit Card,No,Delivered,4,Mobile App,Silver,3,4
Emily,18,Female,San Diego,Engineer,03:18.0,Subway,Tacos,4,34,32.49,2.39,Debit Card,No,Delivered,4,Mobile App,Silver,0,4
John,18,Female,Phoenix,Designer,02:18.0,KFC,Pizza,3,20,11.94,2.24,Credit Card,No,Delivered,4,Mobile App,Gold,9,3
Ashley,18,Female,Los Angeles,Teacher,55:18.0,McDonald's,Sandwich,3,43,38.6,5.97,Credit Card,No,Delivered,4,Mobile App,Silver,7,5
Jessica,18,Female,Houston,Student,35:18.0,McDonald's,Sushi,3,21,42.3,2.73,UPI,No,Delivered,5,Mobile App,Regular,2,4
Ashley,18,Female,San Jose,Doctor,36:18.0,McDonald's,Burger,4,24,49.72,4.78,Debit Card,No,Delivered,5,Mobile App,Silver,1,4
Sarah,18,Female,San Jose,Student,43:18.0,Burger King,Pasta,5,30,17.36,2.89,Credit Card,No,Delivered,4,Mobile App,Regular,12,4
Laura,18,Female,Dallas,Engineer,49:18.0,Chipotle,Sushi,4,34,35.6,3.47,Credit Card,No,Delivered,4,Mobile App,Silver,2,4
Sarah,18,Female,New York,Designer,42:18.0,Wendy's,Pizza,1,34,10.64,0.29,Credit Card,Yes,Delivered,3,Mobile App,Regular,0,3
Daniel,18,Female,San Diego,Designer,02:18.0,Burger King,Burger,1,54,15.92,0,Credit Card,No,Delivered,4,Mobile App,Silver,6,4
